X,1,2,3,4,5,6,7,8,9,10,11,12
Glycerol,1.350413862,1.170940641,-0.97487095,0.15627839,-0.665924294,0.318934412,-0.286645134,-0.960970744,-0.56736331,-1.511366382,0.380319755,1.590253754
mannonic acid ,2.463872085,0.808340312,-0.400654737,-1.427836471,-0.537836339,-0.337794822,-0.557565945,-0.451865738,0.410541176,-0.673808816,-0.026802115,0.73141141
Malic acid,1.537324067,0.481386276,1.553849285,0.350072622,-0.976213357,0.299976771,-1.862539154,-0.366454898,0.000473867,-1.065674836,-0.181986435,0.229785793
"9,12-Octadecadienoic acid (Z,Z)",-0.554221745,-1.240870138,-0.443378546,1.666347677,-0.316906859,-0.130995017,-1.247894832,1.171578253,-0.874222866,0.576272466,1.426520042,-0.032228434
Palmitic Acid,0.088734226,-0.417762945,-1.482657657,0.837229451,-0.949058914,-0.377241146,-0.924157323,-0.229562324,-0.235141098,0.272699636,1.683328457,1.733589638
L-Proline,-0.354524264,0.479520539,0.600449608,1.407592605,-0.501684928,0.499729758,1.305895005,0.547736355,-1.571013462,-1.730620878,-0.564351922,-0.118728415
fructose,1.079926868,-0.203076099,-2.126162318,-0.477503448,-0.319733876,-1.380094652,1.097920408,0.006244524,0.848772344,0.044913553,0.924666524,0.504126172
Lactic Acid,-0.046690847,-1.263514639,-1.31848552,0.717826638,-0.01821516,-0.332768257,-1.63032008,0.963876859,-0.255215112,1.09453657,1.092239164,0.996730384
Myo-Inositol,0.677191458,0.662698678,-2.040791241,1.099191375,-0.473763248,-0.563230811,-1.258777658,0.146068948,0.876500249,0.304305002,1.167914296,-0.597307047
L-Threonine,1.182635991,0.205799374,-0.176026966,0.129265335,-0.956070588,1.389453779,0.988181903,-2.362576095,-0.294852077,-0.085676351,-0.093496095,0.073361789
citric acid,-0.366800938,1.887271566,-0.537812393,1.26489509,-1.644845478,0.390591268,0.568776997,-0.769173945,0.377650452,-0.972722723,0.417258297,-0.615088194
Maltose,0.049794752,-1.728266043,0.013697803,0.396513772,0.696527861,-0.507263477,-2.048534767,1.226874825,0.505895553,1.031013928,0.291295953,0.07244984
glycolic acid,3.088994157,-0.193449135,-0.664285832,-0.587745378,-0.419581536,-0.463233629,-0.021443423,-0.427046258,0.026254833,-0.192294847,0.004891613,-0.151060564
L-Phenylalanine,1.38265871,1.301735034,-1.211647856,0.457019133,-2.05208616,1.098711611,-0.082424346,-0.104110992,-0.236801891,-0.443885564,0.049957473,-0.159125152
L-5-Oxoproline,0.55833406,0.645734828,-0.628113311,1.551652406,-1.0251225,0.133138431,1.569261796,-0.781723754,-0.768400032,-1.55237997,-0.226857762,0.524475808
L-Valine,0.8375459,0.803520039,-0.453769154,0.925707201,-1.383690065,1.275056206,1.439499727,-0.234066552,-1.057441292,-0.569613811,-0.454082612,-1.128665588
Phenol,0.554657321,-0.068688705,-1.697018309,-0.206760427,0.422791543,0.782039188,-1.503150446,0.273030164,-0.787998646,1.979128665,0.314445561,-0.062475908
Ribitol,0.074637028,-1.306748081,-1.130997917,1.756685395,-0.044509387,-0.938264801,-1.189852623,0.782099116,0.728919837,-0.1028355,1.200434118,0.170432814
GABA,2.188272163,0.466109589,-0.59386918,-0.680740382,-1.160638479,-0.0841985,0.605303188,-0.575093991,-0.416729789,-0.082387367,1.36919316,-1.035220412
L-Tryptophan,0.126567783,0.945244515,-1.058585385,0.473507722,-1.908032468,0.112359046,1.348422995,0.956506671,0.886820573,-0.302936284,-0.448547126,-1.131328043
Propanedioic acid,-0.552713969,-1.355487489,1.507912023,0.256795435,0.283235828,-0.567099551,-1.747162689,0.399284851,-0.64561552,0.425577128,0.600715247,1.394558706
L-Isoleucine,1.387144765,0.389038005,-0.204461866,0.812664647,-1.521261316,1.109951459,1.26279499,-0.022532039,-0.742517024,-1.397329896,-0.516638358,-0.556853367
Acetic Acid Isomer 2,1.026137659,1.358239161,-1.583438271,0.288122087,-1.477712687,0.665403717,0.468035999,-0.643776308,-0.128877337,-0.949266094,-0.166004523,1.143136597
"1,3-Butanediol",-0.790667888,0.630354944,0.484019931,1.085172339,0.574160392,-0.201116212,2.049033658,-0.611590295,-0.449719812,-0.822643084,-0.322145194,-1.624858779
Alanine,1.536765199,-0.276737863,-1.280695726,-0.647927085,0.690858303,-0.417140091,0.478474316,0.176053136,-0.499282295,1.441348543,-1.728183541,0.526467105
Isobutyric Acid,-0.612594495,-0.32574592,-0.64466586,-0.195681909,3.078752916,-0.39840511,-0.484413784,-0.293015468,-0.043624074,-0.257769043,0.195187924,-0.018025176
Pyrazine,1.155171972,0.880693416,-0.548752376,0.205235024,-2.513922304,0.91585869,0.230734708,-0.20901056,-0.222313041,-0.211605432,0.916070045,-0.598160141
DL-Alanine,-0.645616342,0.897291311,-0.172633967,0.746445387,0.123653835,-0.630246541,2.396939633,-0.505645758,-0.062050164,-0.574600599,-0.010385329,-1.563151465
acetaldehyde,0.465727253,-1.299210373,0.664231156,0.386976635,0.289278519,0.715487137,0.512983309,0.126520842,0.138928678,0.547421909,-2.69955495,0.151209884
Diacetyl,1.741236558,0.477095658,-1.779220577,0.082564899,-1.606743003,1.141123029,0.001839684,0.278408968,-0.502605098,-0.36422101,0.466180003,0.064340888
Ethanol,-0.761188429,0.092083709,-0.22977718,2.070389536,0.630938495,0.954174809,-1.056373422,0.331148726,-1.135004102,-1.441895541,0.166447639,0.37905576
"2-Butanone, 3-methyl-",-0.811496023,0.715024069,0.68115083,0.933843618,-0.020106309,-0.355682754,2.147794101,-0.579745433,-0.820741493,-0.335355208,0.066322702,-1.6210081
Acetoin,0.807690206,-0.953567296,-0.944531113,-0.189160474,2.287761318,-0.20372828,-1.325467176,0.223471169,-0.23345642,1.08833763,-0.148356692,-0.408992873
2-methylphenyl alcohol,0.90747382,0.8873572,-2.370866666,-0.713755211,-1.033294552,1.124089863,0.414222391,0.5384785,-0.374084128,0.423287162,-0.153728614,0.350820235
Methane,0.051460032,-0.030031036,0.340044161,-0.709635126,0.205954829,-0.005223323,2.862796383,-0.562629771,-0.614399329,-0.02883185,-1.145276145,-0.364228826
